Instance,No_In_Sequence,Class,Freeze,Obstacle,Person,Joint_1_x,Joint_1_y,Joint_1_z,Joint_2_x,Joint_2_y,Joint_2_z,Joint_3_x,Joint_3_y,Joint_3_z,Joint_4_x,Joint_4_y,Joint_4_z,Joint_5_x,Joint_5_y,Joint_5_z,Joint_6_x,Joint_6_y,Joint_6_z,Joint_7_x,Joint_7_y,Joint_7_z,Joint_8_x,Joint_8_y,Joint_8_z,Joint_9_x,Joint_9_y,Joint_9_z,Joint_10_x,Joint_10_y,Joint_10_z,Joint_11_x,Joint_11_y,Joint_11_z,Joint_12_x,Joint_12_y,Joint_12_z,Joint_13_x,Joint_13_y,Joint_13_z,Joint_14_x,Joint_14_y,Joint_14_z,Joint_15_x,Joint_15_y,Joint_15_z,Joint_16_x,Joint_16_y,Joint_16_z,Joint_17_x,Joint_17_y,Joint_17_z
0,6,0,0,0,0,0,0,0,1.9163841807909605,3.3103448275862064,3.0,1.9163841807909605,4.965517241379311,154.0,0.9581920903954803,4.96551724137931,0.0,10.061016949152544,4.96551724137931,0.0,10.540112994350283,17.379310344827587,50.0,25.392090395480228,9.103448275862068,0.0,29.22485875706215,19.862068965517242,46.0,36.89039548022598,17.379310344827584,0.0,43.11864406779661,9.10344827586207,154.0,39.764971751412425,9.103448275862068,0.0,40.24406779661017,8.275862068965518,154.0,58.449717514124295,19.034482758620687,0.0,59.887005649717516,11.586206896551724,154.0,78.09265536723164,28.137931034482758,3.0,82.88361581920904,19.862068965517242,154.0,33.057627118644064,1.2413793103448292,23.0
0,7,0,0,0,0,0,0,0,1.5053254437869823,3.1999999999999993,1.0,2.007100591715976,4.0,1.0,1.003550295857988,6.399999999999999,0.0,10.537278106508875,4.799999999999997,7.0,9.533727810650888,20.0,124.0,26.09230769230769,10.399999999999999,7.0,28.099408284023667,28.0,76.0,38.63668639053254,20.0,38.0,45.15976331360947,15.2,124.0,40.142011834319526,8.0,7.0,42.1491124260355,8.8,16.0,60.71479289940829,14.399999999999999,7.0,63.223668639053265,4.800000000000001,19.0,82.29112426035503,16.799999999999997,34.0,77.77514792899409,27.2,124.0,33.36804733727811,4.0,57.0
0,8,0,0,0,0,0,0,0,2.0071005917159765,2.8235294117647065,2.0,2.508875739644971,2.8235294117647065,3.0,1.0035502958579885,4.9411764705882355,0.0,10.537278106508877,4.2352941176470615,0.0,9.031952662721894,19.058823529411768,126.0,24.586982248520712,10.588235294117649,0.0,27.095857988165676,24.705882352941178,127.0,37.633136094674555,23.294117647058822,35.0,43.65443786982248,18.352941176470587,127.0,39.138461538461534,4.9411764705882355,15.0,40.64378698224852,7.764705882352942,0.0,61.718343195266264,7.7647058823529385,7.0,61.718343195266264,4.9411764705882355,3.0,81.78934911242604,7.7647058823529385,31.0,77.27337278106509,17.647058823529413,36.0,32.364497041420115,0.7058823529411775,46.0
0,9,0,0,0,0,0,0,0,2.5088757396449703,2.6301369863013697,0.0,2.5088757396449703,2.6301369863013697,3.0,2.007100591715976,5.260273972602739,4.0,10.035502958579883,3.287671232876715,0.0,9.031952662721894,17.753424657534246,5.0,25.0887573964497,11.835616438356162,21.0,26.594082840236684,23.013698630136986,129.0,35.12426035502959,24.986301369863014,35.0,43.65443786982249,18.410958904109588,3.0,39.13846153846154,4.602739726027398,11.0,40.14201183431953,7.890410958904109,2.0,61.216568047337276,2.6301369863013697,13.0,60.71479289940828,9.205479452054796,5.0,80.28402366863907,1.315068493150683,28.0,81.28757396449704,1.9726027397260282,29.0,30.859171597633132,0.9863013698630141,47.0
0,10,0,0,0,0,0,0,0,1.983625730994152,2.704225352112676,1.0,2.4795321637426904,2.704225352112676,2.0,0.9918128654970757,4.73239436619718,7.0,9.91812865497076,3.380281690140844,9.0,8.926315789473685,18.253521126760564,0.0,24.29941520467836,10.140845070422532,25.0,26.778947368421054,23.661971830985916,2.0,32.23391812865497,24.338028169014084,35.0,43.14385964912281,19.605633802816904,7.0,38.680701754385964,2.704225352112676,12.0,39.67251461988304,8.788732394366198,5.0,60.004678362573095,2.028169014084508,19.0,59.50877192982457,8.788732394366196,18.0,81.32865497076023,4.732394366197184,39.0,81.32865497076023,12.845070422535212,32.0,29.506432748538007,0.33802816901408406,18.5
0,11,0,0,0,0,0,0,0,1.9606936416184975,2.953846153846154,1.0,2.450867052023122,2.9538461538461505,1.0,0.980346820809249,5.169230769230769,5.0,8.823121387283237,2.215384615384618,16.0,9.31329479768786,18.46153846153846,4.0,23.03815028901734,8.861538461538466,20.0,26.959537572254334,24.369230769230768,1.0,32.3514450867052,23.630769230769232,42.0,43.13526011560693,18.46153846153846,9.0,39.70404624277456,0.7384615384615394,10.0,40.68439306358381,9.6,6.0,58.33063583815028,6.646153846153844,20.0,59.80115606936416,5.907692307692308,18.0,79.40809248554912,13.292307692307691,43.0,81.36878612716762,19.93846153846154,19.0,29.65549132947977,0.3692307692307679,21.5
0,12,0,0,0,0,0,0,0,2.4508670520231215,2.7169811320754746,3.0,2.941040462427746,3.6226415094339615,2.0,1.470520231213873,7.245283018867923,9.0,8.823121387283237,0.9056603773584939,13.0,9.313294797687862,23.547169811320753,0.0,22.547976878612715,7.245283018867923,18.0,27.939884393063583,24.452830188679243,3.0,34.802312138728325,21.735849056603776,44.0,44.60578034682081,14.490566037735848,10.0,36.763005780346816,0.9056603773584868,12.0,37.25317919075144,13.584905660377355,2.0,57.840462427745656,10.867924528301886,18.0,59.31098265895954,2.7169811320754746,18.0,76.957225433526,26.264150943396224,44.0,80.878612716763,14.490566037735853,21.0,31.371098265895952,1.3584905660377338,23.5
0,13,0,0,0,0,0,0,0,1.9382857142857146,2.3999999999999986,2.0,1.9382857142857146,4.799999999999997,1.0,2.422857142857143,7.200000000000003,10.0,8.237714285714286,3.6000000000000014,6.0,9.206857142857142,31.2,0.0,23.259428571428575,0.0,10.0,28.10514285714286,26.4,2.0,35.37371428571428,9.600000000000001,24.0,44.580571428571425,8.399999999999999,3.0,36.82742857142857,2.3999999999999986,10.0,37.796571428571426,21.599999999999998,2.0,57.663999999999994,1.1999999999999957,20.0,58.14857142857143,6.0,19.0,72.68571428571428,38.4,38.0,81.408,3.6000000000000014,24.0,31.739428571428572,8.399999999999999,11.0
0,14,0,0,0,0,0,0,0,1.9163841807909605,0.0,0.0,1.9163841807909605,5.333333333333343,2.0,3.832768361581921,24.000000000000007,4.0,7.1864406779661,14.666666666666671,4.0,8.623728813559321,38.66666666666667,3.0,25.392090395480224,8.000000000000004,7.0,27.787570621468927,29.33333333333334,2.0,36.89039548022599,2.6666666666666714,5.0,41.681355932203395,2.666666666666657,8.0,35.45310734463277,9.33333333333334,1.0,36.89039548022599,28.000000000000004,2.0,55.09604519774011,9.333333333333329,29.0,57.97062146892656,18.66666666666667,16.0,72.8225988700565,24.000000000000007,27.0,80.96723163841807,14.666666666666671,26.0,32.33898305084745,16.000000000000007,1.5
0,15,0,0,0,0,0,0,0,1.9382857142857146,0.0,1.0,1.9382857142857146,4.682926829268297,2.0,3.3920000000000003,21.073170731707318,7.0,7.268571428571428,19.902439024390247,6.0,8.722285714285714,35.1219512195122,9.0,25.682285714285715,11.707317073170735,8.0,28.10514285714286,24.58536585365854,7.0,40.219428571428566,12.878048780487802,18.0,40.70399999999999,12.878048780487802,16.0,36.342857142857135,9.365853658536587,5.0,38.281142857142854,26.926829268292686,6.0,55.241142857142854,8.195121951219512,31.0,59.60228571428571,25.75609756097561,15.0,75.10857142857142,3.5121951219512155,40.0,81.408,30.439024390243905,26.0,34.16228571428571,5.8536585365853675,5.5
