0,4,1,153.3333333,158,0,1,2,0.666666667,32,15,2.133333333
0,7,1,202,207.25,2,3,3,0.875,59,74,0.797297297
0,15,1,197.6666667,193.3333333,3,5,4,1.003466215,94,61,1.540983607
2,8,1,199.8,197.6,0,2,3,0.8,47,72,0.652777778
2,13,1,208.5,217.5,5,0,5,1.204159458,85,81,1.049382716
3,26,1,209.75,201.625,3,1,4,0.875,61,66,0.924242424
3,34,1,193,194.7,1,5,4,2.501999201,47,84,0.55952381
4,10,1,199,214.75,2,2,4,0.875,70,91,0.769230769
5,5,2,188.125,185.25,3,2,3,0.875,49,55,0.890909091
5,13,2,205.5714286,209,2,1,4,0.857142857,75,102,0.735294118
5,20,2,200,200.5,1,5,2,1.131923142,97,97,1
6,12,2,209.5,212.625,0,1,7,0.883883476,56,90,0.622222222
7,20,2,222.1666667,214.1666667,1,1,4,0.833333333,59,52,1.134615385
7,34,2,191.6666667,195.6666667,1,2,9,1.6687487,89,89,1
8,15,2,207.5,213.375,4,1,3,1.007782219,65,109,0.596330275
9,24,2,216.625,207.5,3,4,1,0.875,56,78,0.717948718
9,32,2,179.8888889,169.1111111,2,1,6,3.559026084,84,88,0.954545455
11,21,1,203.4,197.4,3,1,1,0.8,65,46,1.413043478
11,26,1,201,190.125,3,3,2,0.875,58,70,0.828571429
11,34,1,196.8571429,185.1428571,1,4,2,0.857142857,67,92,0.72826087
11,41,1,112.1666667,107.5,1,0,5,3.018461713,77,92,0.836956522
13,24,1,196.5,188.375,4,0,4,0.875,62,59,1.050847458
13,32,1,192.8571429,183.8571429,2,2,3,0.857142857,63,75,0.84
16,7,2,201.75,206.375,3,1,4,0.875,69,76,0.907894737
16,15,2,191.3125,190.0625,2,3,11,0.125,76,66,1.151515152
19,4,2,194.625,197,0,2,6,0.918558654,85,86,0.988372093
20,12,0,182.5714286,195,2,4,1,1.010152545,97,62,1.564516129
22,5,0,209.5555556,212.8888889,0,4,5,0.888888889,104,74,1.405405405
22,14,0,190.625,198,2,2,4,0.790569415,92,47,1.957446809
24,9,0,212,220.3333333,2,1,0,0.666666667,86,91,0.945054945
24,12,0,207.8333333,215.1666667,0,3,3,0.833333333,69,64,1.078125
24,18,0,193.75,198.875,0,3,5,1.015504801,98,65,1.507692308
25,11,1,183.875,193.625,0,4,4,0.875,74,66,1.121212121
25,19,1,172,178.125,2,0,6,1.644118305,73,58,1.25862069
27,7,1,185.6666667,193.5,3,2,1,0.833333333,62,61,1.016393443
27,13,1,179.8888889,187.5555556,1,3,5,0.888888889,70,61,1.147540984
27,22,1,155.5714286,157.8571429,3,1,3,2.445320396,70,38,1.842105263
29,6,1,188.25,187.5,0,2,2,0.75,41,66,0.621212121
29,10,1,180.7777778,186.4444444,1,3,5,0.888888889,65,65,1
31,24,2,193.3,201.1,1,0,9,1.403566885,82,81,1.012345679
32,11,2,204.7777778,199.8888889,3,1,5,0.888888889,74,57,1.298245614
32,20,2,135.3333333,133.2307692,3,11,25,0.036261886,57,52,1.096153846
33,22,2,209,212.375,1,3,4,0.875,62,78,0.794871795
34,15,2,189.6,188.9,2,2,6,0.9,25,48,0.520833333
34,25,2,146,144.025641,4,7,28,0.062807429,61,73,0.835616438
36,11,0,215.375,199.625,2,1,5,0.875,44,112,0.392857143
36,19,0,141.0833333,140.25,3,18,27,0.126724219,59,59,1
37,26,0,211.1666667,220.6666667,2,2,2,0.833333333,76,84,0.904761905
37,32,0,144.0952381,143.047619,1,8,12,0.532397137,82,83,0.987951807
39,22,0,212,216,1,3,3,0.857142857,81,89,0.91011236
40,10,1,212.4444444,209.6666667,3,2,4,0.888888889,47,71,0.661971831
40,19,1,147.6756757,145.7837838,4,10,23,0.379342401,69,71,0.971830986
41,34,1,214.75,222,1,1,2,5.755432217,70,71,0.985915493
42,12,1,208,202.1666667,1,0,5,0.833333333,52,63,0.825396825
42,18,1,162.6666667,161,2,3,4,0.888888889,37,48,0.770833333
42,27,1,131.2777778,131.5555556,5,11,38,0.1309457,66,72,0.916666667
43,35,1,208.5,215.5,0,0,4,6.754628043,66,73,0.904109589
44,9,1,211.5,210.5,2,0,0,0.5,52,61,0.852459016
44,11,1,194,191.9,4,2,4,0.9,36,58,0.620689655
46,10,2,221.25,215.25,1,1,6,0.875,51,95,0.536842105
50,12,0,209.125,220.25,1,3,4,0.875,100,76,1.315789474
51,20,0,213,208.8,2,2,1,0.8,89,60,1.483333333
51,25,0,221.8,217.4,2,1,7,0.9,64,91,0.703296703
51,35,0,204.5,173,2,2,2,5.002777007,37,92,0.402173913
52,6,0,207.5,206.3333333,1,2,3,0.833333333,70,86,0.813953488
52,12,0,216.875,224.5,0,2,6,0.875,101,86,1.174418605
52,20,0,200.5,197.5,1,4,5,0.921954446,81,89,0.91011236
54,12,0,212.5,221.25,1,2,5,0.875,99,74,1.337837838
55,5,1,183.6666667,183.1111111,0,2,7,0.888888889,65,75,0.866666667
55,14,1,204.4285714,202.5714286,0,2,5,0.857142857,57,81,0.703703704
55,21,1,190.3529412,192.5294118,1,4,12,0.542326145,81,72,1.125
57,13,1,188.75,195,0,3,5,0.875,73,76,0.960526316
57,21,1,176.3846154,178.6153846,1,2,10,0.634323942,76,70,1.085714286
59,14,1,191,196.2,0,2,3,0.8,79,80,0.9875
59,19,1,183,193,0,1,1,0.5,64,61,1.049180328
