2,0,0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2,1,0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2,2,0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2,3,0,"[0.426268560116704, 0.1105140711413677, 0.2368158667315022]","[0.426268560116704, 0.1105140711413677, 0.2368158667315022]","[0.42469148825012076, 0.09800572805772018, 0.24501432014430044]","[0.4008918628686366, 0.1336306209562122, 0.2672612419124244]","[0.4334588768708565, 0.06421612990679355, 0.24081048715047584]","[0.4616330542123694, 0.06074119134373282, 0.18222357403119846]","[0.4597781241093491, 0.062132178933695825, 0.18639653680108748]","[0.16603282261510266, 0.044102468507136644, 0.46956157645833724]","[0.1690619028153408, 0.04098470371280989, 0.4687625487152631]","[0.2379454078380647, 0.055520595162215094, 0.4362332477031186]","[0.2358926025126595, 0.05566005227826797, 0.4373289821863912]","[0.20102574675913196, 0.018461548171757016, 0.45743613803353494]","[0.4928749802465649, 0.03556829754356654, 0.07621778045049973]","[0.2638650952275984, 0.02700981289731322, 0.42384629469629975]","[0.27449340129713784, -0.022316536690824215, 0.4173192361184128]","[0.2488249330582115, 0.05443045410648376, 0.430259780079824]","[0.250076212120883, 0.05791238596483606, 0.4290781323758308]"
2,4,0,"[0.31746281824712064, 0.24770391958562366, 0.7051536252136179]","[0.30641598031978035, 0.26263465319130885, 0.6977873274889008]","[0.06427495579919196, 0.4445600861836123, 0.2450143201443007]","[0.09673287425358623, 0.5279107913831282, 0.22220065100649045]","[-0.0036197611899115856, 0.30703759549610976, 0.24081048715047615]","[0.3914162867593305, 0.21356592050623524, 0.6530889557751243]","[-0.03636081424748383, 0.12414954622829999, 0.18639653680108736]","[0.07255702971104938, 0.2905386497996343, 0.044671608712647526]","[0.17796245185770232, 0.002415657862595566, -0.029668197656732787]","[0.2671308281089537, 0.4495237688192173, 0.12978633485877822]","[0.29756242267139044, 0.10851989812861085, -0.056029579083471504]","[0.19092885657675396, 0.19010868127207914, -0.012069255446760963]","[0.502734976274958, 0.07993827967134148, 0.5741475798844169]","[0.4079423413390231, 0.26713855641635487, 0.009624212125956433]","[0.35395168833471047, 0.051466158415497176, -0.0707816699695627]","[0.6458504435608887, 0.22118116851760838, 0.17616345335811445]","[0.7249747092921268, -0.07070595701904203, 0.5181216005954496]"
2,5,0,"[-0.11657755395291991, 0.6268140096945132, 0.3673042013987242]","[-0.11985257979692343, 0.6472488714689604, 0.39134404505784914]","[-0.360416532450928, 0.8465543581258927, 0.0]","[-0.3041589886150497, 0.8933064596683629, -0.013871447828343264]","[-0.4279892312270114, 0.5427718911033121, 0.39993390068532886]","[-0.03595733196166506, 0.6324568260417749, 0.3338276397784199]","[-0.5012881078370288, 0.3297741802647489, 0.42223189737599753]","[-0.0113587966730897, 0.7391381586782586, -0.44728551217231427]","[-0.03994904962666368, 0.18396801475312663, -0.053356625165317695]","[0.029185420270891882, 0.88517245686824, -0.21289085889934256]","[0.27286528466750326, 0.4752507748678809, -0.6576217003322355]","[0.0184292946099589, 0.6470835463059252, -0.6216450457060887]","[0.018300693218264996, 0.5339304191400034, 0.3966414331555299]","[0.12754775598874346, 0.6533659965860927, -0.695223414655942]","[0.10331519303090886, 0.39585092601618843, -0.10639041019479922]","[0.5109860869623049, 0.3376915791005821, -0.7099386325602666]","[0.5385854385132518, 0.31344395574308015, -0.13573397181104951]"
2,6,0,"[0.07687808511412753, 0.969306912035897, -0.21390008668001315]","[0.0, 0.9370222475925445, -0.3035712759090643]","[0.0, 1.0, 0.0]","[0.018020049448685314, 0.5831198533353046, 0.5237371613416553]","[-0.02574724388082339, 0.7528268848035466, 0.19091399639783901]","[0.09700501600519296, 0.9502239507328909, -0.29390169325004933]","[0.07656103712523255, 0.7580180526027043, 0.36775842630571987]","[0.22013010809942912, 0.9412445909582914, -0.19491193426221542]","[0.07185153872729089, 0.7053416101886079, 0.3967936662481506]","[0.08318903308077097, 0.7199391241833553, -0.3431863697290538]","[0.38144677066051713, 0.8905820209348505, -0.2068259656003164]","[0.14783618204671, 0.952676402223112, -0.2416221501665774]","[0.09475599783713307, 0.9786804740134016, -0.1588319000432321]","[0.04444158596228931, 0.9010058617468033, -0.3724579462130464]","[0.1503480124000589, 0.7964098799351262, 0.4765788256982262]","[0.038150772101744224, 0.20884576686840006, 0.03692142248773678]","[0.34213199080352297, 0.839840940814824, -0.34411103265701826]"
2,7,0,"[0.026526077825555383, 0.9446733057609151, -0.2872379877123521]","[0.0, 0.9375079085148457, -0.3000257202550216]","[0.0, 1.0, 0.0]","[0.0005569256171653603, 0.153946059419944, -0.0022404902956694173]","[-0.040791986435549044, 0.5600725022669764, -0.6973574334068786]","[0.0008471344547995585, 0.9657794223257596, -0.18781317431405142]","[0.023586387233518025, 0.9552517946078396, -0.2288449291860104]","[0.06884166548186244, 0.8981570150854736, -0.3800307289954077]","[0.21875920496540857, 0.953483273916909, -0.18556174955525506]","[0.38199618541437275, 0.4080541323722855, -0.795311006474364]","[0.18574819933608921, 0.9640916738163057, -0.10455039927531118]","[0.04867775585217515, 0.9716656788329274, -0.11302657840818853]","[0.03309067110603081, 0.9681417028722876, -0.1906051076179267]","[0.11453823448552214, 0.983264823884916, -0.05128124532703282]","[0.022795936933690086, 0.8891223269174233, -0.16436959387755223]","[-0.2555762596714857, 0.35249619897773243, 0.8373161010106784]","[0.27844504946151005, 0.3977786420878644, 0.38066640737363855]"
2,8,0,"[-0.12002226543092687, 0.960178123447406, -0.20532068114523838]","[-0.006419760131427865, 0.6047498725755958, -0.5539836300340255]","[0.0, 1.0, 0.0]","[-0.01746312383151999, 0.5656527009191876, -0.5594581005936172]","[-0.0059553357209681836, 0.6071960429774279, -0.48833752911939143]","[-0.0956853149789918, 0.9344168644317961, -0.26745730546932833]","[-0.08520033742560251, 0.9523678799417752, -0.2826775303305027]","[0.015478450810860522, 0.5624809311095618, -0.6871970899454567]","[0.036512322079424564, 0.9630446882489707, -0.19882704008639251]","[0.4252982587403338, 0.08441596159511278, -0.8329102318255792]","[-0.03969783928175019, 0.992653174093789, -0.048188889620853104]","[-0.10800399603979827, 0.9802585001041706, -0.1356593443801941]","[0.025586411082677785, 0.9124823893026246, -0.36949469572481064]","[0.0006003170345678654, 0.9898534012876752, 0.09314221016640545]","[0.03618055176301027, 0.83440784160031, -0.4923641257426823]","[-0.1546879621848234, 0.7534649265523683, 0.10630668796102327]","[-0.3535533905932766, 0.3535533905932766, 0.5]"
2,9,0,"[-0.06189844605901729, 0.9945637379110508, -0.0559180315014558]","[-0.006419760131427879, 0.23365644213957637, -0.003655303690093703]","[0.0, 0.6321175735393041, 0.48222914341844536]","[0.006552905481599207, 0.5875408823355031, 0.42679831908605603]","[0.0, 1.0, 0.0]","[-0.09874384916613899, 0.8614496675597252, -0.49633600342447437]","[-0.027076518053693377, 0.9851250612634743, -0.15571061852877222]","[0.0846498971974654, 0.6101192560573168, -0.4273403585266138]","[0.09656813751875148, 0.9667076129425851, -0.06154574548966707]","[-0.073817297785709, 0.3365651561478984, -0.32025826118491096]","[-0.06942249229670239, 0.9947241862662111, -0.028884596375313265]","[0.04531806842187791, 0.7545747352320404, -0.5255643792101523]","[0.1397821167088793, 0.9212293321112597, -0.14497650774427484]","[0.07916226427943229, 0.970021966406037, -0.026310622021270547]","[0.20142146672571926, 0.8504473821358118, 0.013056779898590776]","[0.24765492118994814, 0.8662203716310373, -0.10469982788666954]","[-0.8535533905932766, 0.3535533905932766, 0.0]"
