Instance,No_In_Sequence,Class,Joint_1_x,Joint_1_y,Joint_1_z,Joint_2_x,Joint_2_y,Joint_2_z,Joint_3_x,Joint_3_y,Joint_3_z,Joint_4_x,Joint_4_y,Joint_4_z,Joint_5_x,Joint_5_y,Joint_5_z,Joint_6_x,Joint_6_y,Joint_6_z,Joint_7_x,Joint_7_y,Joint_7_z,Joint_8_x,Joint_8_y,Joint_8_z,Joint_9_x,Joint_9_y,Joint_9_z,Joint_10_x,Joint_10_y,Joint_10_z,Joint_11_x,Joint_11_y,Joint_11_z,Joint_12_x,Joint_12_y,Joint_12_z,Joint_13_x,Joint_13_y,Joint_13_z,Joint_14_x,Joint_14_y,Joint_14_z,Joint_15_x,Joint_15_y,Joint_15_z,Joint_16_x,Joint_16_y,Joint_16_z,Joint_17_x,Joint_17_y,Joint_17_z
42,4,2,0,423,88.0,0,0,0.0,0,0,0.0,16,3,13.0,15,5,16.0,89,0,19.0,39,0,28.0,76,0,21.0,77,0,21.0,119,2,16.0,121,5,17.0,128,0,15.0,129,0,15.0,14,5,12.0,175,0,95.0,74,0,21.0,0,0,0.0
42,5,2,21,379,99.0,8,1,9.0,2,5,2.0,19,18,11.0,3,4,2.0,4,44,21.0,18,10,6.0,57,44,19.0,58,4,7.0,89,38,24.0,97,1,5.0,78,44,25.0,85,24,10.0,155,31,25.0,155,32,26.0,211,37,22.0,211,34,20.0
42,6,2,14,328,88.0,7,3,3.0,5,7,0.0,4,3,0.0,3,2,0.0,8,37,19.0,1,28,14.0,48,28,24.0,48,27,24.0,92,6,17.0,90,13,20.0,88,52,17.0,94,28,7.0,164,52,17.0,159,20,5.0,223,80,17.0,220,7,2.0
42,7,2,16,312,93.0,7,2,3.0,3,6,1.0,10,2,4.0,2,4,2.0,3,40,24.0,3,27,15.0,49,27,24.0,45,28,24.0,86,4,24.0,94,14,9.0,87,46,22.0,87,36,19.0,158,40,22.0,159,21,12.0,215,80,22.0,219,20,10.0
42,8,2,16,299,95.0,7,3,0.0,1,5,3.0,16,1,3.0,2,3,4.0,10,39,21.0,5,27,19.0,46,26,26.0,46,19,25.0,82,6,21.0,85,15,21.0,77,43,24.0,77,53,25.0,147,14,21.0,151,29,19.0,211,60,23.0,212,59,21.0
42,9,2,17,283,95.0,6,3,0.0,1,6,4.0,16,2,3.0,3,2,2.0,4,33,21.0,13,35,21.0,42,25,24.0,37,31,24.0,83,9,19.0,84,10,21.0,76,43,21.0,75,54,21.0,143,5,19.0,150,43,10.0,217,20,18.0,220,47,17.0
42,10,2,20,267,96.0,5,4,1.0,0,7,4.0,19,3,4.0,20,3,4.0,7,30,22.0,12,36,22.0,41,21,25.0,34,55,15.0,87,9,22.0,83,10,19.0,76,40,22.0,73,54,20.0,148,11,20.0,152,52,13.0,217,1,20.0,213,60,12.0
42,11,2,20,251,99.0,6,4,2.0,8,5,2.0,19,2,10.0,20,2,10.0,12,24,23.0,11,24,23.0,39,13,28.0,36,14,28.0,86,3,25.0,84,7,25.0,76,35,24.0,72,49,23.0,150,11,21.0,147,38,15.0,217,13,23.0,212,70,18.0
42,12,2,16,240,97.0,3,4,3.0,1,0,1.0,15,1,5.0,16,0,5.0,6,24,23.0,7,22,22.0,42,8,23.0,39,10,24.0,88,5,20.0,84,1,20.0,76,37,21.0,77,25,19.0,150,15,19.0,146,25,21.0,220,24,23.0,207,63,5.0
42,13,2,9,218,103.0,0,0,0.0,9,0,1.0,5,8,8.0,25,199,84.0,1,32,27.0,1,32,27.0,46,11,27.0,45,17,29.0,94,7,87.0,92,7,24.0,80,44,24.0,79,60,22.0,155,32,24.0,153,31,22.0,227,45,29.0,214,37,26.0
42,14,2,17,210,109.0,3,2,6.0,17,8,92.0,16,5,6.0,17,5,4.0,7,22,28.0,3,51,24.0,42,4,28.0,41,20,24.0,87,15,19.0,63,23,24.0,72,38,27.0,71,53,25.0,146,34,26.0,144,29,24.0,218,52,34.0,202,13,3.0
42,15,2,24,205,95.0,4,0,3.0,1,3,7.0,18,2,11.0,16,38,0.0,9,15,10.0,3,45,6.0,37,0,12.0,39,31,10.0,80,18,6.0,76,10,9.0,72,27,12.0,75,47,12.0,140,23,8.0,138,26,10.0,204,10,5.0,200,10,4.0
42,16,2,24,195,110.0,1,0,0.0,2,2,5.0,15,4,4.0,22,14,3.0,7,15,20.0,10,45,15.0,34,1,22.0,41,45,16.0,76,10,20.0,77,9,20.0,69,23,22.0,72,45,22.0,133,3,5.0,133,29,15.0,183,33,21.0,189,37,19.0
42,17,2,24,184,116.0,4,0,3.0,0,0,0.0,11,5,2.0,22,18,14.0,5,16,19.0,8,44,16.0,32,6,24.0,31,21,21.0,78,6,13.0,76,1,17.0,71,24,24.0,77,48,20.0,133,2,17.0,138,35,15.0,196,10,1.0,201,31,28.0
42,18,2,28,169,114.0,4,6,1.0,4,7,1.0,11,8,5.0,18,19,0.0,5,18,14.0,12,48,10.0,37,7,14.0,45,29,14.0,77,3,9.0,76,2,10.0,72,28,16.0,77,52,14.0,132,6,10.0,134,44,12.0,193,4,6.0,198,45,13.0
42,19,2,24,163,116.0,1,1,0.0,0,0,0.0,7,2,9.0,11,14,15.0,3,11,13.0,15,42,6.0,45,1,14.0,46,28,12.0,83,9,5.0,83,8,4.0,76,19,14.0,80,43,12.0,137,2,8.0,134,35,10.0,197,2,7.0,196,48,13.0
42,20,2,204,198,113.0,181,46,12.0,204,25,83.0,186,43,10.0,189,30,3.0,177,37,6.0,170,6,1.0,139,48,9.0,131,15,6.0,98,56,17.0,116,41,6.0,108,26,8.0,105,3,4.0,43,39,2.0,50,18,2.0,16,33,2.0,3,4,5.0
42,21,2,21,144,136.0,0,1,5.0,21,21,65.0,1,3,9.0,6,15,21.0,8,7,24.0,14,42,14.0,44,2,28.0,44,24,24.0,82,13,2.0,65,8,21.0,77,22,25.0,80,44,21.0,137,14,22.0,133,25,19.0,198,21,27.0,187,24,28.0
42,22,2,30,133,175.0,6,6,36.0,9,20,52.0,6,8,43.0,9,20,52.0,3,12,59.0,9,47,52.0,42,0,57.0,43,61,6.0,76,9,50.0,57,13,57.0,70,27,59.0,73,50,57.0,128,24,58.0,128,30,58.0,185,32,64.0,173,16,27.0
42,23,2,39,134,124.0,13,3,21.0,11,37,4.0,12,5,13.0,10,34,12.0,3,8,7.0,7,42,4.0,32,4,3.0,42,46,7.0,68,14,6.0,68,50,38.0,64,18,3.0,68,40,0.0,118,16,4.0,119,27,3.0,169,28,10.0,167,12,14.0
42,24,2,39,134,121.0,14,3,57.0,11,31,10.0,10,2,28.0,8,29,21.0,2,5,3.0,8,36,15.0,34,7,2.0,41,41,18.0,68,13,11.0,69,13,11.0,61,12,4.0,68,35,9.0,112,5,18.0,117,21,16.0,155,16,2.0,157,17,2.0
42,25,2,20,169,194.0,12,38,47.0,1,30,0.0,11,38,42.0,10,2,0.0,20,35,64.0,29,3,47.0,57,47,63.0,64,6,12.0,87,53,50.0,92,4,10.0,83,31,65.0,85,6,57.0,129,46,58.0,136,16,50.0,178,37,64.0,186,23,68.0
42,26,2,24,150,196.0,3,16,14.0,0,11,8.0,11,25,43.0,9,10,5.0,19,23,59.0,29,9,47.0,53,35,56.0,67,19,4.0,86,40,42.0,85,11,51.0,80,18,59.0,82,5,54.0,131,29,50.0,134,0,52.0,173,34,54.0,182,4,54.0
42,27,2,43,119,149.0,6,1,17.0,8,42,50.0,6,2,22.0,11,45,52.0,3,1,3.0,11,32,0.0,38,12,17.0,45,42,12.0,68,15,13.0,67,43,35.0,63,6,4.0,64,30,3.0,113,2,0.0,111,24,0.0,155,5,6.0,160,25,7.0
42,28,2,195,145,146.0,157,38,29.0,160,22,18.0,157,36,18.0,160,22,18.0,148,34,9.0,142,3,9.0,116,44,4.0,111,3,11.0,83,47,10.0,97,6,0.0,89,26,0.0,88,3,7.0,41,33,3.0,46,10,8.0,1,31,2.0,4,5,1.0
42,29,2,50,100,157.0,11,1,27.0,13,19,6.0,11,4,14.0,14,18,10.0,1,5,3.0,3,36,0.0,30,5,2.0,32,43,6.0,60,9,21.0,50,38,2.0,53,15,6.0,54,37,1.0,102,11,3.0,98,27,6.0,143,15,11.0,141,26,3.0
42,30,2,42,99,176.0,2,3,14.0,2,15,9.0,0,0,0.0,2,15,9.0,9,2,22.0,15,35,1.0,40,9,22.0,43,40,8.0,67,15,8.0,64,38,12.0,64,13,25.0,66,33,18.0,110,11,23.0,110,21,13.0,154,14,22.0,151,14,33.0
42,31,2,103,82,164.0,60,14,20.0,61,30,17.0,59,16,16.0,60,29,16.0,49,17,8.0,44,48,14.0,19,7,10.0,17,52,12.0,8,0,5.0,7,16,8.0,5,24,7.0,7,45,1.0,48,21,4.0,48,38,3.0,89,20,100.0,87,28,12.0
42,32,2,46,97,184.0,2,1,5.0,4,15,3.0,2,0,3.0,3,13,1.0,7,1,18.0,15,30,3.0,36,7,23.0,44,33,3.0,62,14,7.0,60,4,6.0,64,6,21.0,66,26,10.0,102,6,1.0,107,16,5.0,139,3,120.0,142,11,25.0
42,33,2,47,94,187.0,2,2,8.0,1,14,4.0,1,1,4.0,2,12,3.0,8,2,11.0,14,29,5.0,37,8,23.0,50,35,1.0,63,14,8.0,53,33,2.0,60,4,18.0,63,25,10.0,98,10,4.0,105,18,7.0,137,2,121.0,144,12,26.0
